scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Thermodesulfovibrio autotrophicus	3907-1M	GCF_040450955.1	reference genome	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	Thermodesulfovibrionaceae	Thermodesulfovibrio	Thermodesulfovibrio autotrophicus	hot spring/hydrothermal	obligate_anaerobe	non_gut	non_pathogenic
Thermogutta hypogea	JCM 19991	GCF_055386265.1	reference genome	Planctomycetota	Planctomycetia	Pirellulales	Thermoguttaceae	Thermogutta	Thermogutta hypogea	freshwater/marine	aerobe	non_gut	non_pathogenic
Thermoleptolyngbya oregonensis NK1-22	NK1-22	GCF_032705245.1	reference genome	Cyanobacteriota	Cyanophyceae	Oculatellales	Oculatellaceae	Thermoleptolyngbya	Thermoleptolyngbya oregonensis	freshwater/marine	aerobe	non_gut	non_pathogenic
Thermomonas paludicola	IMCC34681	GCF_024498955.1	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Thermomonas	Thermomonas paludicola	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Thermomonospora amylolytica	YIM 77502	GCF_003589885.1	reference genome	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Thermomonospora	Thermomonospora amylolytica	soil/clinical	aerobe	non_gut	non_pathogenic
Thermosipho ferrireducens	JL129W03	GCF_017358165.1	reference genome	Thermotogota	Thermotogae	Thermotogales	Fervidobacteriaceae	Thermosipho	Thermosipho ferrireducens	hydrothermal vent	anaerobe	non_gut	non_pathogenic
Thermosynechococcus sichuanensis E542	E542	GCF_003555505.1	reference genome	Cyanobacteriota	Cyanophyceae	Acaryochloridales	Thermosynechococcaceae	Thermosynechococcus	Thermosynechococcus sichuanensis	freshwater/marine	aerobe	non_gut	non_pathogenic
Thermotoga neapolitana DSM 4359	DSM 4359	GCF_000018945.1	reference genome	Thermotogota	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	Thermotoga neapolitana	hydrothermal vent	anaerobe	non_gut	non_pathogenic
Thermovibrio ruber	JCM 11468	GCF_055380895.1	reference genome	Aquificota	Aquificia	Desulfurobacteriales	Desulfurobacteriaceae	Thermovibrio	Thermovibrio ruber	hydrothermal	microaerophile	non_gut	non_pathogenic
Thermus parvatiensis	RL	GCF_001535545.1	reference genome	Deinococcota	Deinococci	Thermales	Thermaceae	Thermus	Thermus parvatiensis	hot springs	aerobe	non_gut	non_pathogenic
Thioalkalivibrio paradoxus ARh 1	ARh 1	GCF_000227685.2	reference genome	Pseudomonadota	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Thioalkalivibrio	Thioalkalivibrio paradoxus	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Thiobacillus sedimenti	SCUT-2	GCF_035621355.1	reference genome	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Thiobacillaceae	Thiobacillus	Thiobacillus sedimenti	soil/water	aerobe	non_gut	non_pathogenic
Thioclava electrotropha	Elox9	GCF_002085925.2	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Thioclava	Thioclava electrotropha	soil/water	aerobe	non_gut	non_pathogenic
Thiomicrolovo sulfuroxydans	HSL-3221	GCF_021044585.1	reference genome	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Sulfurimonadaceae	Thiomicrolovo	Thiomicrolovo sulfuroxydans	animal/human gut	microaerophile	gut_associated	pathogen (human)
Thiomicrorhabdus xiamenensis	G2	GCF_013282625.1	reference genome	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrorhabdus	Thiomicrorhabdus xiamenensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Thiomicrospira cyclica ALM1	ALM1	GCF_000214825.1	reference genome	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Thiomicrospira	Thiomicrospira cyclica	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Thiomonas islandica	JCM 16107	GCF_055383445.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales		Thiomonas	Thiomonas islandica	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Thiorhodovibrio winogradskyi	DSM 6702	GCF_036208045.1	reference genome	Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodovibrio	Thiorhodovibrio winogradskyi	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Thiothrix litoralis	AS	GCF_017901135.1	reference genome	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix litoralis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Thomasclavelia ramosa	FDAARGOS_1105	GCF_016728785.1	reference genome	Bacillota	Erysipelotrichia	Erysipelotrichales	Coprobacillaceae	Thomasclavelia	Thomasclavelia ramosa	animal/environment	facultative_anaerobe	non_gut	non_pathogenic
Tistrella bauzanensis	L16	GCF_041504375.1	reference genome	Pseudomonadota	Alphaproteobacteria	Geminicoccales	Geminicoccaceae	Tistrella	Tistrella bauzanensis	soil/water	aerobe	non_gut	non_pathogenic
Tomitella fengzijianii	HY188	GCF_007559025.1	reference genome	Actinomycetota	Actinomycetes	Mycobacteriales		Tomitella	Tomitella fengzijianii	clinical/soil	aerobe	non_gut	opportunistic_pathogen
Treponema phagedenis	B43.1	GCF_008153345.1	reference genome	Spirochaetota	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	Treponema phagedenis	human oral/genital	anaerobe	non_gut	opportunistic_pathogen
Trichlorobacter ammonificans	G1	GCF_933509905.1	reference genome	Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	Trichlorobacter	Trichlorobacter ammonificans	sediment/soil	anaerobe	non_gut	non_pathogenic
Trichococcus shcherbakoviae		GCF_963666195.1	reference genome	Bacillota	Bacilli	Lactobacillales	Carnobacteriaceae	Trichococcus	Trichococcus shcherbakoviae	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
'Nostoc azollae' 0708	0708	GCF_000196515.1	reference genome	Cyanobacteriota	Cyanophyceae	Nostocales	Nostocaceae	Trichormus	Trichormus azollae	freshwater	aerobe	non_gut	non_pathogenic
Trinickia violacea	DHOD12	GCF_005280735.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Trinickia	Trinickia violacea	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Tritonibacter scottomollicae	LC.270.F.C4	GCF_032924845.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Tritonibacter	Tritonibacter scottomollicae	soil/water	aerobe	non_gut	non_pathogenic
Trueperella bialowiezensis	NCTC13354	GCF_900637955.1	reference genome	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Trueperella	Trueperella bialowiezensis	soil/clinical	aerobe	non_gut	non_pathogenic
Tsukamurella tyrosinosolvens	ZCJ-230615	GCF_040790855.1	reference genome	Actinomycetota	Actinomycetes	Mycobacteriales	Tsukamurellaceae	Tsukamurella	Tsukamurella tyrosinosolvens	clinical/soil	aerobe	non_gut	opportunistic_pathogen
Tsuneonella mangrovi	C9-11	GCF_002269345.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Tsuneonella	Tsuneonella mangrovi	soil/water	aerobe	non_gut	non_pathogenic
Tuanshanicoccus yangjingiae	zg-252	GCF_016237705.1	reference genome	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Tuanshanicoccus	Tuanshanicoccus yangjingiae	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Tumebacillus algifaecis	THMBR28	GCF_002243515.1	reference genome	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus algifaecis	soil	aerobe	non_gut	non_pathogenic
Tundrisphaera macrotermitis	TA3	GCF_051175315.1	reference genome	Planctomycetota	Planctomycetia	Isosphaerales	Isosphaeraceae	Tundrisphaera	Tundrisphaera macrotermitis	freshwater/marine	aerobe	non_gut	non_pathogenic
Turicibacter faecis	TC023	GCF_037076425.1	reference genome	Bacillota	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	Turicibacter faecis	animal/environment	facultative_anaerobe	non_gut	non_pathogenic
Ureibacillus chungkukjangi	SLM-173	GCF_044795995.1	reference genome	Bacillota	Bacilli	Bacillales	Caryophanaceae	Ureibacillus	Ureibacillus chungkukjangi	soil	aerobe	non_gut	non_pathogenic
Uruburuella suis	1258/02	GCF_022870845.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Uruburuella	Uruburuella suis	human naso/clinical	aerobe	non_gut	pathogen (human)
Usitatibacter palustris	Swamp67	GCF_013003985.1	reference genome	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Usitatibacteraceae	Usitatibacter	Usitatibacter palustris	soil/water	aerobe	non_gut	non_pathogenic
Vagococcus hydrophili	HDW17B	GCF_011304195.1	reference genome	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Vagococcus	Vagococcus hydrophili	human gut/clinical	facultative_anaerobe	gut_associated	opportunistic_pathogen
Vallitalea guaymasensis	Ra1766G1	GCF_018141425.1	reference genome	Bacillota	Clostridia	Lachnospirales	Vallitaleaceae	Vallitalea	Vallitalea guaymasensis	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Variovorax xiamenensis	W6	GCF_050916385.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax xiamenensis	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Veillonella dispar	NCTC11831	GCF_900637515.1	reference genome	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella dispar	human gut/oral	obligate_anaerobe	gut_associated	non_pathogenic
Vescimonas fastidiosa	MM35	GCF_018326305.1	reference genome	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Vescimonas	Vescimonas fastidiosa	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Vibrio fluvialis	ATCC 33809	GCF_001558415.2	reference genome	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio fluvialis	aquatic/coastal	facultative_anaerobe	non_gut	pathogen (human)
Virgibacillus natechei	DSM 25609	GCF_026013645.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Virgibacillus	Virgibacillus natechei	soil	aerobe	non_gut	non_pathogenic
Vitreoscilla massiliensis	SN4	GCF_022870925.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla massiliensis	human naso/clinical	aerobe	non_gut	pathogen (human)
Vreelandella piezotolerans	NBT06E8	GCF_012427705.1	reference genome	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Vreelandella	Vreelandella piezotolerans	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Weissella ceti	CECT 7719	GCF_018394055.1	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Weissella	Weissella ceti	food/human gut	facultative_anaerobe	gut_dominant	non_pathogenic
Williamsoniiplasma somnilux	PYAN-1	GCF_002804005.1	reference genome	Mycoplasmatota	Mollicutes	Entomoplasmatales		Williamsoniiplasma	Williamsoniiplasma somnilux	animal/human	aerobe	non_gut	non_pathogenic
Winogradskyella forsetii	HL857	GCF_013394595.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	Winogradskyella forsetii	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Wolbachia endosymbiont of Drosophila melanogaster	wMelPlus	GCF_947533255.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia endosymbiont of Drosophila melanogaster	insect/nematode	aerobe	non_gut	non_pathogenic
Xanthomonas sacchari	CFBP4641	GCF_040529065.1	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xanthomonas	Xanthomonas sacchari	soil/plant	aerobe	non_gut	pathogen (plant)
Xenorhabdus taiwanensis	TCT-1	GCF_036512875.1	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Xenorhabdus	Xenorhabdus taiwanensis	human gut/environment	facultative_anaerobe	gut_associated	opportunistic_pathogen
Xylanimonas protaetiae	FW10M-9	GCF_004135385.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Xylanimonas	Xylanimonas protaetiae	soil/clinical	aerobe	non_gut	non_pathogenic
Xylella taiwanensis	PLS229	GCF_013177435.1	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Xylella	Xylella taiwanensis	plant/insect	aerobe	non_gut	pathogen (plant)
Xylocopilactobacillus apis	KimC2	GCF_033095965.1	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Xylocopilactobacillus	Xylocopilactobacillus apis	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Yersinia pseudotuberculosis	NCTC10275	GCF_900637475.1	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Yersinia	Yersinia pseudotuberculosis	environment/clinical	facultative_anaerobe	non_gut	pathogen (human)
Yoonia phaeophyticola	BS5-3	GCF_038069655.2	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Yoonia	Yoonia phaeophyticola	soil/water	aerobe	non_gut	non_pathogenic
Zobellia laminariae	KMM 3676	GCF_009725995.2	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Zobellia	Zobellia laminariae	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
cyanobacterium endosymbiont of Rhopalodia gibberula		GCF_003574135.1	reference genome	Cyanobacteriota				cyanobacterium	cyanobacterium endosymbiont of Rhopalodia gibberula	freshwater/marine	aerobe	non_gut	non_pathogenic
endosymbiont of unidentified scaly snail isolate Monju		GCF_000801295.1	reference genome	Pseudomonadota	Gammaproteobacteria			endosymbiont	endosymbiont of unidentified scaly snail isolate Monju	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
secondary endosymbiont of Heteropsylla cubana		GCF_000287355.1	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	secondary	secondary endosymbiont of Heteropsylla cubana	human gut/environment	facultative_anaerobe	gut_associated	opportunistic_pathogen
Acetivibrio clariflavus DSM 19732	DSM 19732	GCF_000237085.1	reference genome	Bacillota	Clostridia	Acetivibrionales	Acetivibrionaceae	Acetivibrio	Acetivibrio clariflavus	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Acetobacter pasteurianus	CICC 22518	GCF_009914215.2	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acetobacter	Acetobacter pasteurianus	plant/fruit	aerobe	non_gut	non_pathogenic
Acetobacterium carbinolicum	DSM 2925	GCF_047456275.1	reference genome	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	Acetobacterium carbinolicum	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Alteracholeplasma palmae J233	J233	GCF_000968055.1	reference genome	Mycoplasmatota	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma palmae	animal/plant	facultative_anaerobe	non_gut	non_pathogenic
Achromobacter spanius	DSM 23806	GCF_002812705.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter spanius	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Acidipropionibacterium jensenii	FAM 19038	GCF_005890135.1	reference genome	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Acidipropionibacterium	Acidipropionibacterium jensenii	dairy/skin	anaerobe	non_gut	non_pathogenic
Acidithiobacillus ferridurans	JCM 18981	GCF_003966655.1	reference genome	Pseudomonadota	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferridurans	soil/water/clinical	aerobe	non_gut	non_pathogenic
Acidovorax facilis	37c5	GCF_050626955.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax facilis	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Acinetobacter oleivorans DR1	DR1	GCF_000196795.1	reference genome	Pseudomonadota	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	clinical/soil	aerobe	non_gut	opportunistic_pathogen
Actinoalloteichus fjordicus	ADI127-7	GCF_001941625.1	reference genome	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Actinoalloteichus	Actinoalloteichus fjordicus	soil/clinical	aerobe	non_gut	non_pathogenic
Actinobacillus suis ATCC 33415	ATCC 33415	GCF_000739435.1	reference genome	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Actinobacillus	Actinobacillus suis	animal/clinical	facultative_anaerobe	non_gut	pathogen (animal)
Actinomadura luteofluorescens	YN2	GCF_037081795.1	reference genome	Actinomycetota	Actinomycetes	Streptosporangiales	Thermomonosporaceae	Actinomadura	Actinomadura luteofluorescens	soil/clinical	aerobe	non_gut	non_pathogenic
Actinomyces slackii	NCTC11923	GCF_900637295.1	reference genome	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces slackii	soil/clinical	aerobe	non_gut	non_pathogenic
Actinoplanes friuliensis DSM 7358	DSM 7358	GCF_000494755.1	reference genome	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Actinoplanes	Actinoplanes friuliensis	soil/clinical	aerobe	non_gut	non_pathogenic
Aequorivita marisscotiae	Ant34-E75	GCF_029814825.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita marisscotiae	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Aerococcus christensenii	CCUG28831	GCF_001543105.1	reference genome	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Aeromicrobium erythreum	AR18	GCF_001509405.1	reference genome	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Aeromicrobium	Aeromicrobium erythreum	dairy/skin	anaerobe	non_gut	non_pathogenic
Aeromonas jandaei	FDAARGOS_986	GCF_016127195.1	reference genome	Pseudomonadota	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas jandaei	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Afipia carboxydohydrogena	DSM 1083	GCF_029030725.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Nitrobacteraceae	Afipia	Afipia carboxydohydrogena	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Agarivorans sediminis	TSD2052	GCF_023238625.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Agarivorans	Agarivorans sediminis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Aggregatibacter actinomycetemcomitans	4S	GCF_023518055.1	reference genome	Pseudomonadota	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	Aggregatibacter actinomycetemcomitans	human oral/clinical	facultative_anaerobe	non_gut	pathogen (human)
Agrobacterium cucumeris	O132	GCF_030036535.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	Agrobacterium cucumeris	soil/rhizosphere	aerobe	non_gut	pathogen (plant)
Agromyces endophyticus	H17E-10	GCF_022919715.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Agromyces	Agromyces endophyticus	soil/clinical	aerobe	non_gut	non_pathogenic
Akkermansia glycaniphila		GCF_900097105.1	reference genome	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia glycaniphila	human gut	anaerobe	gut_dominant	non_pathogenic
Alcaligenes aquatilis	AS1	GCF_023373785.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes aquatilis	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Aliarcobacter skirrowii CCUG 10374	CCUG 10374	GCF_003544835.1	reference genome	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter skirrowii	animal/human gut	microaerophile	gut_associated	pathogen (human)
Alicyclobacillus fastidiosus	DSM 17978	GCF_026651875.1	reference genome	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus fastidiosus	soil	aerobe	non_gut	non_pathogenic
Alistipes onderdonkii subsp. vulgaris	3BBH6	GCF_006542645.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes onderdonkii	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Alkalimarinus alittae	A2M4	GCF_026016465.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alkalimarinus	Alkalimarinus alittae	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Alloalcanivorax venustensis	A6	GCF_047495515.1	reference genome	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alloalcanivorax	Alloalcanivorax venustensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Allobosea minatitlanensis		GCF_964020775.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Alloboseaceae	Allobosea	Allobosea minatitlanensis	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Allofrancisella frigidaquae	SYSU 10HL1970	GCF_012222825.1	reference genome	Pseudomonadota	Gammaproteobacteria	Thiotrichales	Francisellaceae	Allofrancisella	Allofrancisella frigidaquae	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Altererythrobacter rubellus	NBRC 112769	GCF_030284385.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Altererythrobacter	Altererythrobacter rubellus	soil/water	aerobe	non_gut	non_pathogenic
Alteromonas australica	H 17	GCF_000730385.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	Alteromonas australica	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Aminipila luticellarii	JN-18	GCF_004103735.1	reference genome	Bacillota	Clostridia	Peptostreptococcales	Anaerovoracaceae	Aminipila	Aminipila luticellarii	human gut	obligate_anaerobe	gut_associated	opportunistic_pathogen
Amycolatopsis methanolica 239	239	GCF_000739085.1	reference genome	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis methanolica	soil/clinical	aerobe	non_gut	non_pathogenic
Anaerococcus obesiensis	FDAARGOS_989	GCF_016599815.1	reference genome	Bacillota	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus obesiensis	soil/gut/clinical	facultative_anaerobe	gut_associated	non_pathogenic
Anaerocolumna sedimenticola	CBA3638	GCF_009931695.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	Anaerocolumna sedimenticola	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Anaeromyxobacter paludicola	Red630	GCF_023169965.1	reference genome	Myxococcota	Myxococcia	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter paludicola	soil	aerobe	non_gut	non_pathogenic
Anaerostipes hadrus	BA1	GCF_030864025.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Anaplasma ovis str. Haibei	Haibei	GCF_002214625.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma ovis	tick/mammal	aerobe	non_gut	pathogen (zoonotic)
Aneurinibacillus thermoaerophilus	CCM 8960	GCF_019603355.1	reference genome	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Aneurinibacillus	Aneurinibacillus thermoaerophilus	soil	facultative_anaerobe	non_gut	non_pathogenic
Anoxybacillus dikiliensis	D404	GCF_050613275.1	reference genome	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Anoxybacillus	Anoxybacillus dikiliensis	soil	aerobe	non_gut	non_pathogenic
Apilactobacillus kunkeei	DSMZ 12361	GCF_019575995.1	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Apilactobacillus	Apilactobacillus kunkeei	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Aquimarina macrocephali	CP11	GCF_051627225.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aquimarina	Aquimarina macrocephali	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Aquirufa antheringensis	44A-TON	GCF_023921165.1	reference genome	Bacteroidota	Cytophagia	Cytophagales	Flectobacillaceae	Aquirufa	Aquirufa antheringensis	soil	aerobe	non_gut	non_pathogenic
Arachidicoccus soli	KIS59-12	GCF_003600625.1	reference genome	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Arachidicoccus	Arachidicoccus soli	soil	aerobe	non_gut	non_pathogenic
Arcanobacterium phocisimile	DSM 26142	GCF_016904675.1	reference genome	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium phocisimile	soil/clinical	aerobe	non_gut	non_pathogenic
Archangium minus	Cbm 6	GCF_044360475.1	reference genome	Myxococcota	Myxococcia	Myxococcales	Archangiaceae	Archangium	Archangium minus	soil	aerobe	non_gut	non_pathogenic
Arcobacter nitrofigilis DSM 7299	DSM 7299	GCF_000092245.1	reference genome	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	Arcobacter nitrofigilis	food/environment	microaerophile	non_gut	opportunistic_pathogen
Aromatoleum bremense	PbN1	GCF_017894365.1	reference genome	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum bremense	soil/water/clinical	aerobe	non_gut	non_pathogenic
Candidatus Arsenophonus nilaparvatae	HZAU 001	GCF_045346035.1	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Morganellaceae	Arsenophonus	Candidatus Arsenophonus nilaparvatae	human gut/environment	facultative_anaerobe	gut_associated	opportunistic_pathogen
Arthrobacter sunyaminii	zg-ZUI122	GCF_018866305.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter sunyaminii	soil/clinical	aerobe	non_gut	non_pathogenic
Aureimonas phyllosphaerae	Leaf1	GCF_047943035.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Aurantimonadaceae	Aureimonas	Aureimonas phyllosphaerae	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Azospira inquinata	Azo-3	GCF_018905915.1	reference genome	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Azospira inquinata	soil/water/clinical	aerobe	non_gut	non_pathogenic
